Rank,Word,Count,Frequency
1,ja,472,0.02201184535745931
2,on,448,0.02089259898335121
3,,392,0.01828102411043231
4,romeo,272,0.012684792239891806
5,niin,215,0.010026582101385068
6,ei,193,0.009000606258452643
7,the,186,0.008674159399337779
8,se,186,0.008674159399337779
9,hän,174,0.008114536212283729
10,julia,166,0.007741454087581028
11,kuin,145,0.006762113510236441
12,capulet,139,0.006482301916709416
13,jos,137,0.00638903138553374
14,imettäjä,124,0.005782772932891853
15,of,122,0.005689502401716178
16,sen,115,0.005363055542601315
17,ma,108,0.005036608683486452
18,kun,97,0.004523620762020239
19,tuo,94,0.004383714965256727
20,oi,92,0.004290444434081052
21,vaan,90,0.004197173902905377
22,nyt,90,0.004197173902905377
23,voi,89,0.0041505386373175395
24,en,85,0.00396399757496619
25,project,83,0.003870727043790514
26,to,82,0.0038240917782026767
27,mercutio,79,0.0036841859814391643
28,benvolio,78,0.003637550715851327
29,or,77,0.0035909154502634893
30,tulee,77,0.0035909154502634893
31,you,74,0.003451009653499977
32,mun,73,0.003404374387912139
33,vain,70,0.0032644685911486265
34,and,66,0.0030779275287972766
35,lorenzo,66,0.0030779275287972766
36,kreivinna,65,0.003031292263209439
37,sun,64,0.0029846569976216012
38,mitä,62,0.0028913864664459263
39,in,60,0.0027981159352702513
40,tybalt,57,0.002658210138506739
41,sa,57,0.002658210138506739
42,a,57,0.002658210138506739
43,näin,56,0.0026115748729189014
44,mua,56,0.0026115748729189014
45,gutenberg™,56,0.0026115748729189014
46,että,54,0.002518304341743226
47,no,50,0.002331763279391876
48,minä,49,0.0022851280138040386
49,pois,49,0.0022851280138040386
50,with,47,0.0021918574826283637
51,paris,47,0.0021918574826283637
52,this,45,0.0020985869514526887
53,siis,45,0.0020985869514526887
54,work,45,0.0020985869514526887
55,mut,44,0.002051951685864851
56,jo,44,0.002051951685864851
57,ken,41,0.0019120458891013384
58,ett,41,0.0019120458891013384
59,mies,39,0.0018187753579256634
60,tai,39,0.0018187753579256634
61,ole,39,0.0018187753579256634
62,olet,38,0.001772140092337826
63,montague,37,0.0017255048267499884
64,olen,37,0.0017255048267499884
65,tänne,37,0.0017255048267499884
66,any,37,0.0017255048267499884
67,kaikki,35,0.0016322342955743133
68,hyvä,34,0.0015855990299864758
69,saa,33,0.0015389637643986383
70,hänet,33,0.0015389637643986383
71,oli,33,0.0015389637643986383
72,joka,32,0.0014923284988108006
73,herra,32,0.0014923284988108006
74,noin,32,0.0014923284988108006
75,works,32,0.0014923284988108006
76,palvelija,31,0.0014456932332229631
77,te,31,0.0014456932332229631
78,hänen,31,0.0014456932332229631
79,prinssi,30,0.0013990579676351257
80,häntä,30,0.0013990579676351257
81,menee,30,0.0013990579676351257
82,mi,29,0.0013524227020472882
83,niinkuin,29,0.0013524227020472882
84,not,28,0.0013057874364594507
85,sua,28,0.0013057874364594507
86,menevät,28,0.0013057874364594507
87,tuon,28,0.0013057874364594507
88,jok,28,0.0013057874364594507
89,by,27,0.001259152170871613
90,kyllä,27,0.001259152170871613
91,sinä,27,0.001259152170871613
92,mulle,27,0.001259152170871613
93,electronic,27,0.001259152170871613
94,gutenberg,26,0.0012125169052837755
95,for,26,0.0012125169052837755
96,ne,26,0.0012125169052837755
97,sano,26,0.0012125169052837755
98,1,26,0.0012125169052837755
99,armas,26,0.0012125169052837755
100,nuo,26,0.0012125169052837755
101,kuollut,26,0.0012125169052837755
102,miss,25,0.001165881639695938
103,kohtaus,24,0.0011192463741081006
104,sitä,24,0.0011192463741081006
105,vielä,24,0.0011192463741081006
106,käy,24,0.0011192463741081006
107,tää,24,0.0011192463741081006
108,are,23,0.001072611108520263
109,pietari,23,0.001072611108520263
110,älä,23,0.001072611108520263
111,itse,23,0.001072611108520263
112,is,22,0.0010259758429324254
113,terms,22,0.0010259758429324254
114,if,22,0.0010259758429324254
115,romeon,22,0.0010259758429324254
116,simson,22,0.0010259758429324254
117,lemmen,22,0.0010259758429324254
118,kuinka,22,0.0010259758429324254
119,julian,21,0.000979340577344588
120,tulevat,21,0.000979340577344588
121,totta,21,0.000979340577344588
122,tuossa,21,0.000979340577344588
123,siitä,21,0.000979340577344588
124,täytyy,21,0.000979340577344588
125,isä,21,0.000979340577344588
126,kautta,20,0.0009327053117567504
127,et,20,0.0009327053117567504
128,hyvästi,20,0.0009327053117567504
129,kaunis,20,0.0009327053117567504
130,eikö,20,0.0009327053117567504
131,vai,20,0.0009327053117567504
132,foundation,20,0.0009327053117567504
133,states,19,0.000886070046168913
134,yrjö,19,0.000886070046168913
135,luo,19,0.000886070046168913
136,ennenkuin,19,0.000886070046168913
137,minut,19,0.000886070046168913
138,varhain,19,0.000886070046168913
139,päivää,19,0.000886070046168913
140,neiti,19,0.000886070046168913
141,copyright,19,0.000886070046168913
142,capuletin,18,0.0008394347805810754
143,poika,18,0.0008394347805810754
144,balthasar,18,0.0008394347805810754
145,kanssa,18,0.0008394347805810754
146,suo,18,0.0008394347805810754
147,silloin,18,0.0008394347805810754
148,päivä,18,0.0008394347805810754
149,kreivi,18,0.0008394347805810754
150,agreement,18,0.0008394347805810754
151,other,17,0.0007927995149932379
152,license,17,0.0007927995149932379
153,mutta,17,0.0007927995149932379
154,tuoss,17,0.0007927995149932379
155,ennen,17,0.0007927995149932379
156,joutuin,17,0.0007927995149932379
157,mikä,17,0.0007927995149932379
158,be,17,0.0007927995149932379
159,do,17,0.0007927995149932379
160,all,17,0.0007927995149932379
161,minun,16,0.0007461642494054003
162,hänt,16,0.0007461642494054003
163,heti,16,0.0007461642494054003
