Rank,Word,Count,Frequency
68,dir,59,0.002448234366571227
69,an,58,0.0024067388688327317
70,wohl,58,0.0024067388688327317
71,kommt,58,0.0024067388688327317
72,gutenberg™,56,0.0023237478733557407
73,tybalt,55,0.0022822523756172454
74,eine,55,0.0022822523756172454
75,im,54,0.00224075687787875
76,liebe,53,0.002199261380140255
77,herr,51,0.002116270384663264
78,uns,50,0.0020747748869247686
79,this,49,0.0020332793891862733
80,schon,48,0.001991783891447778
81,wird,48,0.001991783891447778
82,with,47,0.0019502883937092825
83,lorenzo,47,0.0019502883937092825
84,meine,46,0.0019087928959707872
85,einen,46,0.0019087928959707872
86,bei,45,0.0018672973982322917
87,work,45,0.0018672973982322917
88,ihm,43,0.0017843064027553012
89,tod,42,0.0017428109050168057
90,bin,42,0.0017428109050168057
91,zum,42,0.0017428109050168057
92,hat,41,0.0017013154072783104
93,man,40,0.0016598199095398149
94,kann,40,0.0016598199095398149
95,dein,40,0.0016598199095398149
96,auch,40,0.0016598199095398149
97,dies,39,0.0016183244118013196
98,paris,37,0.0015353334163243288
99,diener,37,0.0015353334163243288
100,any,37,0.0015353334163243288
101,nein,36,0.0014938379185858335
102,mehr,36,0.0014938379185858335
103,wer,36,0.0014938379185858335
104,sind,35,0.001452342420847338
105,war,35,0.001452342420847338
106,montague,34,0.0014108469231088427
107,not,33,0.0013693514253703472
108,gut,33,0.0013693514253703472
109,bist,33,0.0013693514253703472
110,soll,33,0.0013693514253703472
111,tot,33,0.0013693514253703472
112,dieser,32,0.001327855927631852
113,works,32,0.001327855927631852
114,einem,31,0.0012863604298933567
115,gutenberg,30,0.0012448649321548612
116,diese,30,0.0012448649321548612
117,nichts,29,0.0012033694344163659
118,geht,29,0.0012033694344163659
119,sag,29,0.0012033694344163659
120,dann,29,0.0012033694344163659
121,fräulein,29,0.0012033694344163659
122,for,28,0.0011618739366778704
123,zur,28,0.0011618739366778704
124,szene,28,0.0011618739366778704
125,wort,28,0.0011618739366778704
126,meiner,28,0.0011618739366778704
127,selbst,28,0.0011618739366778704
128,gott,28,0.0011618739366778704
129,sonst,27,0.001120378438939375
130,herz,27,0.001120378438939375
131,weil,27,0.001120378438939375
132,nach,27,0.001120378438939375
133,einer,27,0.001120378438939375
134,kein,27,0.001120378438939375
135,electronic,27,0.001120378438939375
136,is,26,0.0010788829412008798
137,are,26,0.0010788829412008798
138,by,26,0.0010788829412008798
139,mann,26,0.0010788829412008798
140,freund,26,0.0010788829412008798
141,peter,26,0.0010788829412008798
142,tritt,26,0.0010788829412008798
143,sagt,26,0.0010788829412008798
144,frau,26,0.0010788829412008798
145,deine,26,0.0010788829412008798
146,durch,25,0.0010373874434623843
147,lieb,25,0.0010373874434623843
148,oder,25,0.0010373874434623843
149,laß,25,0.0010373874434623843
150,recht,25,0.0010373874434623843
151,weiß,25,0.0010373874434623843
152,komm,25,0.0010373874434623843
153,amme,24,0.000995891945723889
154,gleich,24,0.000995891945723889
155,vor,24,0.000995891945723889
156,geh,24,0.000995891945723889
157,gute,24,0.000995891945723889
158,simson,23,0.0009543964479853936
159,muß,23,0.0009543964479853936
160,ach,23,0.0009543964479853936
161,lebt,23,0.0009543964479853936
162,sei,23,0.0009543964479853936
163,terms,22,0.0009129009502468982
164,if,22,0.0009129009502468982
165,erster,22,0.0009129009502468982
166,kommen,22,0.0009129009502468982
167,alle,22,0.0009129009502468982
168,sagen,22,0.0009129009502468982
169,zeit,22,0.0009129009502468982
170,kind,22,0.0009129009502468982
171,all,22,0.0009129009502468982
172,macht,22,0.0009129009502468982
173,gehn,21,0.0008714054525084028
174,am,21,0.0008714054525084028
175,nie,21,0.0008714054525084028
176,prinz,20,0.0008299099547699074
177,gregorio,20,0.0008299099547699074
178,aber,20,0.0008299099547699074
179,fort,20,0.0008299099547699074
180,eure,20,0.0008299099547699074
181,morgen,20,0.0008299099547699074
182,meinen,20,0.0008299099547699074
183,hin,20,0.0008299099547699074
184,ists,20,0.0008299099547699074
185,wieder,20,0.0008299099547699074
186,tag,20,0.0008299099547699074
187,zurück,20,0.0008299099547699074
188,foundation,20,0.0008299099547699074
189,states,19,0.000788414457031412
190,leben,19,0.000788414457031412
191,willst,19,0.000788414457031412
192,seht,19,0.000788414457031412
193,laßt,19,0.000788414457031412
194,copyright,19,0.000788414457031412
195,be,18,0.0007469189592929168
196,seid,18,0.0007469189592929168
197,seinen,18,0.0007469189592929168
198,alles,18,0.0007469189592929168
199,sehn,18,0.0007469189592929168
200,früh,18,0.0007469189592929168
201,hand,18,0.0007469189592929168
202,hast,18,0.0007469189592929168
203,über,18,0.0007469189592929168
204,verbannt,18,0.0007469189592929168
205,agreement,18,0.0007469189592929168
206,other,17,0.0007054234615544214
207,license,17,0.0007054234615544214
208,that,17,0.0007054234615544214
209,hause,17,0.0007054234615544214
210,deinen,17,0.0007054234615544214
211,ihren,17,0.0007054234615544214
212,vetter,17,0.0007054234615544214
213,licht,17,0.0007054234615544214
214,weh,17,0.0007054234615544214
