Rank,Word,Count,Frequency
1,de,1380,0.036037918157365574
2,la,968,0.025278771577050635
3,et,832,0.021727208628208813
4,le,710,0.018541247747630114
5,que,601,0.01569477450186718
6,à,550,0.014362938396051498
7,je,460,0.012012639385788525
8,un,372,0.009714569242420286
9,qui,347,0.009061708406236126
10,les,344,0.008983365105894028
11,vous,317,0.008278275402815135
12,est,300,0.007834330034209908
13,ne,282,0.007364270232157313
14,dans,281,0.007338155798709947
15,ce,277,0.0072336980649204815
16,pas,269,0.007024782597341551
17,pour,266,0.0069464392969994515
18,a,262,0.006841981563209986
19,en,262,0.006841981563209986
20,il,259,0.006763638262867887
21,the,246,0.006424150628052124
22,mon,242,0.006319692894262659
23,des,240,0.006267464027367926
24,une,220,0.005745175358420599
25,du,219,0.005719060924973232
26,me,198,0.0051706578225785395
27,roméo,180,0.004700598020525945
28,plus,177,0.004622254720183846
29,tu,174,0.004543911419841747
30,si,170,0.004439453686052281
31,se,159,0.004152194918131251
32,ma,149,0.0038910505836575876
33,of,147,0.003838821716762855
34,elle,144,0.0037604784164207558
35,son,140,0.0036560206826312903
36,sur,139,0.003629906249183924
37,cette,137,0.003577677382289191
38,bien,136,0.003551562948841825
39,par,136,0.003551562948841825
40,nous,133,0.0034732196484997258
41,avec,128,0.003342647481262894
42,mort,119,0.0031076175802365966
43,comme,112,0.002924816546105032
44,c'est,112,0.002924816546105032
45,juliette,111,0.0028987021126576657
46,te,110,0.0028725876792102993
47,mais,107,0.0027942443788682002
48,au,107,0.0027942443788682002
49,frère,103,0.0026897866450787352
50,to,98,0.0025592144778419034
51,moi,96,0.0025069856109471707
52,tout,95,0.0024808711774998043
53,sa,94,0.002454756744052438
54,and,92,0.002402527877157705
55,lui,90,0.0023502990102629725
56,you,89,0.002324184576815606
57,ton,85,0.0022197268430261406
58,project,84,0.0021936124095787743
59,or,84,0.0021936124095787743
60,ces,84,0.0021936124095787743
61,ou,83,0.002167497976131408
62,où,80,0.002089154675789309
63,note,79,0.0020630402423419424
64,nuit,78,0.002036925808894576
65,in,76,0.0019846969419998433
66,sont,76,0.0019846969419998433
67,qu'il,74,0.0019324680751051106
68,d'un,74,0.0019324680751051106
69,ses,72,0.0018802392082103779
70,votre,71,0.0018541247747630115
71,encore,68,0.0017757814744209124
72,on,67,0.001749667040973546
73,faire,67,0.001749667040973546
74,signora,67,0.001749667040973546
75,capulet,66,0.0017235526075261797
76,aussi,66,0.0017235526075261797
77,donc,65,0.0016974381740788133
78,deux,64,0.001671323740631447
79,d'une,64,0.001671323740631447
80,ta,64,0.001671323740631447
81,suis,63,0.0016452093071840806
82,ici,63,0.0016452093071840806
83,tybalt,61,0.0015929804402893479
84,jour,59,0.0015407515733946151
85,fait,59,0.0015407515733946151
86,sans,59,0.0015407515733946151
87,mes,59,0.0015407515733946151
88,toi,57,0.0014885227064998824
89,ils,56,0.001462408273052516
90,homme,56,0.001462408273052516
91,gutenberg™,56,0.001462408273052516
92,n'est,55,0.0014362938396051497
93,leur,55,0.0014362938396051497
94,car,55,0.0014362938396051497
95,entre,54,0.0014101794061577833
96,tes,54,0.0014101794061577833
97,y,53,0.001384064972710417
98,nourrice,53,0.001384064972710417
99,with,52,0.0013579505392630508
100,ainsi,52,0.0013579505392630508
101,tous,52,0.0013579505392630508
102,point,52,0.0013579505392630508
103,this,51,0.0013318361058156844
104,l'amour,51,0.0013318361058156844
105,là,50,0.001305721672368318
106,j'ai,50,0.001305721672368318
