Rank,Word,Count,Frequency
113,upon,44,0.0015172413793103448
114,tell,44,0.0015172413793103448
115,them,43,0.001482758620689655
116,make,43,0.001482758620689655
117,take,40,0.001379310344827586
118,’tis,40,0.001379310344827586
119,did,40,0.001379310344827586
120,see,39,0.0013448275862068967
121,much,38,0.001310344827586207
122,like,38,0.001310344827586207
123,prince,37,0.0012758620689655173
124,why,37,0.0012758620689655173
125,were,37,0.0012758620689655173
126,know,36,0.0012413793103448277
127,who,36,0.0012413793103448277
128,first,34,0.0011724137931034483
129,exeunt,34,0.0011724137931034483
130,other,33,0.0011379310344827587
131,sweet,33,0.0011379310344827587
132,gone,33,0.0011379310344827587
133,house,32,0.001103448275862069
134,exit,32,0.001103448275862069
135,time,32,0.001103448275862069
136,works,32,0.001103448275862069
137,servant,31,0.0010689655172413793
138,us,31,0.0010689655172413793
139,look,31,0.0010689655172413793
140,old,30,0.0010344827586206897
141,ay,30,0.0010344827586206897
142,lord,30,0.0010344827586206897
143,wilt,29,0.001
144,back,29,0.001
145,mine,29,0.001
146,heaven,29,0.001
147,word,28,0.0009655172413793104
148,speak,28,0.0009655172413793104
149,light,28,0.0009655172413793104
150,eyes,28,0.0009655172413793104
151,hast,28,0.0009655172413793104
152,gutenberg,27,0.0009310344827586207
153,part,27,0.0009310344827586207
154,comes,27,0.0009310344827586207
155,hence,27,0.0009310344827586207
156,god,27,0.0009310344827586207
157,electronic,27,0.0009310344827586207
158,use,26,0.000896551724137931
159,peter,26,0.000896551724137931
160,being,26,0.000896551724137931
161,true,26,0.000896551724137931
162,again,26,0.000896551724137931
163,stay,26,0.000896551724137931
164,heart,26,0.000896551724137931
165,very,26,0.000896551724137931
166,dear,26,0.000896551724137931
167,away,25,0.0008620689655172414
168,bed,25,0.0008620689655172414
169,stand,25,0.0008620689655172414
170,cannot,25,0.0008620689655172414
171,hand,25,0.0008620689655172414
172,name,25,0.0008620689655172414
173,before,24,0.0008275862068965517
174,young,24,0.0008275862068965517
175,both,24,0.0008275862068965517
176,life,24,0.0008275862068965517
177,find,24,0.0008275862068965517
178,terms,23,0.000793103448275862
179,therefore,23,0.000793103448275862
180,call,23,0.000793103448275862
181,hear,23,0.000793103448275862
182,madam,23,0.000793103448275862
183,die,23,0.000793103448275862
184,within,23,0.000793103448275862
185,watch,23,0.000793103448275862
186,full,23,0.000793103448275862
187,most,22,0.0007586206896551724
188,capulet’s,22,0.0007586206896551724
189,cell,22,0.0007586206896551724
190,sampson,22,0.0007586206896551724
191,men,22,0.0007586206896551724
192,made,22,0.0007586206896551724
193,till,22,0.0007586206896551724
194,father,22,0.0007586206896551724
195,marry,21,0.0007241379310344827
196,lie,21,0.0007241379310344827
197,ere,21,0.0007241379310344827
198,without,21,0.0007241379310344827
199,bid,21,0.0007241379310344827
200,face,21,0.0007241379310344827
201,holy,21,0.0007241379310344827
202,help,21,0.0007241379310344827
203,about,20,0.000689655172413793
204,wife,20,0.000689655172413793
205,two,20,0.000689655172413793
206,forth,20,0.000689655172413793
207,been,20,0.000689655172413793
208,nay,20,0.000689655172413793
209,tears,20,0.000689655172413793
210,nor,20,0.000689655172413793
211,farewell,20,0.000689655172413793
212,think,20,0.000689655172413793
213,had,20,0.000689655172413793
214,foundation,20,0.000689655172413793
215,states,19,0.0006551724137931035
216,balthasar,19,0.0006551724137931035
217,gregory,19,0.0006551724137931035
218,live,19,0.0006551724137931035
219,down,19,0.0006551724137931035
220,peace,19,0.0006551724137931035
221,earth,19,0.0006551724137931035
222,lies,19,0.0006551724137931035
223,eye,19,0.0006551724137931035
224,married,19,0.0006551724137931035
225,copyright,19,0.0006551724137931035
226,cousin,18,0.0006206896551724138
227,could,18,0.0006206896551724138
228,poor,18,0.0006206896551724138
229,law,18,0.0006206896551724138
230,keep,18,0.0006206896551724138
231,set,18,0.0006206896551724138
232,never,18,0.0006206896551724138
233,second,18,0.0006206896551724138
234,agreement,18,0.0006206896551724138
235,world,17,0.0005862068965517242
236,license,17,0.0005862068965517242
237,place,17,0.0005862068965517242
238,son,17,0.0005862068965517242
239,blood,17,0.0005862068965517242
240,put,17,0.0005862068965517242
241,long,17,0.0005862068965517242
242,hold,17,0.0005862068965517242
243,grave,17,0.0005862068965517242
244,hour,17,0.0005862068965517242
245,own,17,0.0005862068965517242
246,pray,17,0.0005862068965517242
247,lips,17,0.0005862068965517242
248,slain,17,0.0005862068965517242
249,banished,17,0.0005862068965517242
250,head,16,0.0005517241379310345
251,same,16,0.0005517241379310345
252,new,16,0.0005517241379310345
253,villain,16,0.0005517241379310345
254,those,16,0.0005517241379310345
255,rest,16,0.0005517241379310345
256,early,16,0.0005517241379310345
257,many,16,0.0005517241379310345
258,romeo’s,16,0.0005517241379310345
259,county,16,0.0005517241379310345
260,alone,16,0.0005517241379310345
261,united,15,0.0005172413793103448
262,mantua,15,0.0005172413793103448
263,friend,15,0.0005172413793103448
264,whose,15,0.0005172413793103448
265,myself,15,0.0005172413793103448
266,fear,15,0.0005172413793103448
267,sun,15,0.0005172413793103448
268,dost,15,0.0005172413793103448
269,child,15,0.0005172413793103448
270,none,15,0.0005172413793103448
271,tonight,15,0.0005172413793103448
272,ah,15,0.0005172413793103448
273,tomorrow,15,0.0005172413793103448
274,news,15,0.0005172413793103448
275,donations,15,0.0005172413793103448
276,page,14,0.0004827586206896552
277,daughter,14,0.0004827586206896552
278,run,14,0.0004827586206896552
279,lives,14,0.0004827586206896552
280,nothing,14,0.0004827586206896552
281,still,14,0.0004827586206896552
282,said,14,0.0004827586206896552
283,even,14,0.0004827586206896552
284,poison,14,0.0004827586206896552
285,letter,14,0.0004827586206896552
286,mother,14,0.0004827586206896552
287,faith,14,0.0004827586206896552
288,fall,14,0.0004827586206896552
289,gentleman,14,0.0004827586206896552
290,joy,14,0.0004827586206896552
291,breath,14,0.0004827586206896552
292,send,14,0.0004827586206896552
293,haste,14,0.0004827586206896552
294,thursday,14,0.0004827586206896552
295,musician,14,0.0004827586206896552
296,ebook,13,0.0004482758620689655
297,act,13,0.0004482758620689655
298,chamber,13,0.0004482758620689655
299,verona,13,0.0004482758620689655
300,makes,13,0.0004482758620689655
301,hands,13,0.0004482758620689655
302,came,13,0.0004482758620689655
303,soon,13,0.0004482758620689655
304,thine,13,0.0004482758620689655
305,else,13,0.0004482758620689655
306,leave,13,0.0004482758620689655
307,wit,13,0.0004482758620689655
308,years,13,0.0004482758620689655
309,days,13,0.0004482758620689655
310,soul,13,0.0004482758620689655
311,husband,13,0.0004482758620689655
312,woe,13,0.0004482758620689655
313,little,13,0.0004482758620689655
314,sin,13,0.0004482758620689655
315,trademark,13,0.0004482758620689655
316,literary,13,0.0004482758620689655
317,archive,13,0.0004482758620689655
318,copy,12,0.00041379310344827585
319,under,12,0.00041379310344827585
320,ii,12,0.00041379310344827585
321,iii,12,0.00041379310344827585
322,kinsman,12,0.00041379310344827585
323,ever,12,0.00041379310344827585
324,turn,12,0.00041379310344827585
325,bear,12,0.00041379310344827585
326,better,12,0.00041379310344827585
327,talk,12,0.00041379310344827585
328,hate,12,0.00041379310344827585
329,ho,12,0.00041379310344827585
330,means,12,0.00041379310344827585
331,happy,12,0.00041379310344827585
332,gentle,12,0.00041379310344827585
333,sleep,12,0.00041379310344827585
334,grief,12,0.00041379310344827585
335,ill,12,0.00041379310344827585
336,she’s,12,0.00041379310344827585
337,get,12,0.00041379310344827585
338,ye,12,0.00041379310344827585
339,best,12,0.00041379310344827585
340,thing,12,0.00041379310344827585
341,late,12,0.00041379310344827585
342,hither,12,0.00041379310344827585
343,shame,12,0.00041379310344827585
344,twenty,11,0.0003793103448275862
345,juliet’s,11,0.0003793103448275862
346,monument,11,0.0003793103448275862
347,lay,11,0.0003793103448275862
348,draw,11,0.0003793103448275862
349,quarrel,11,0.0003793103448275862
350,show,11,0.0003793103448275862
351,shalt,11,0.0003793103448275862
352,beauty,11,0.0003793103448275862
353,love’s,11,0.0003793103448275862
354,he’s,11,0.0003793103448275862
355,only,11,0.0003793103448275862
356,way,11,0.0003793103448275862
357,o’er,11,0.0003793103448275862
358,though,11,0.0003793103448275862
359,mad,11,0.0003793103448275862
360,since,11,0.0003793103448275862
361,against,11,0.0003793103448275862
362,need,11,0.0003793103448275862
363,warrant,11,0.0003793103448275862
364,marriage,11,0.0003793103448275862
365,because,11,0.0003793103448275862
366,access,11,0.0003793103448275862
367,pale,11,0.0003793103448275862
368,alack,11,0.0003793103448275862
369,bring,11,0.0003793103448275862
370,paragraph,11,0.0003793103448275862
371,laws,10,0.0003448275862068965
372,street,10,0.0003448275862068965
373,iv,10,0.0003448275862068965
374,v,10,0.0003448275862068965
375,lawrence’s,10,0.0003448275862068965
376,john,10,0.0003448275862068965
377,play,10,0.0003448275862068965
378,once,10,0.0003448275862068965
379,end,10,0.0003448275862068965
380,ears,10,0.0003448275862068965
381,we’ll,10,0.0003448275862068965
382,maid,10,0.0003448275862068965
383,off,10,0.0003448275862068965
384,either,10,0.0003448275862068965
385,saw,10,0.0003448275862068965
386,heavy,10,0.0003448275862068965
387,black,10,0.0003448275862068965
388,here’s,10,0.0003448275862068965
389,rich,10,0.0003448275862068965
390,kiss,10,0.0003448275862068965
391,bound,10,0.0003448275862068965
392,agree,10,0.0003448275862068965
393,comfort,10,0.0003448275862068965
394,through,10,0.0003448275862068965
395,desperate,10,0.0003448275862068965
396,master,10,0.0003448275862068965
397,ne’er,10,0.0003448275862068965
398,calls,10,0.0003448275862068965
399,done,10,0.0003448275862068965
400,dream,10,0.0003448275862068965
401,thus,10,0.0003448275862068965
402,flower,10,0.0003448275862068965
403,every,10,0.0003448275862068965
404,another,10,0.0003448275862068965
405,straight,10,0.0003448275862068965
406,others,10,0.0003448275862068965
407,above,10,0.0003448275862068965
408,things,10,0.0003448275862068965
409,state,10,0.0003448275862068965
410,gentlemen,10,0.0003448275862068965
411,boy,10,0.0003448275862068965
412,kill,10,0.0003448275862068965
413,says,10,0.0003448275862068965
414,answer,10,0.0003448275862068965
415,pardon,10,0.0003448275862068965
416,tongue,10,0.0003448275862068965
417,church,10,0.0003448275862068965
418,fee,10,0.0003448275862068965
419,tybalt’s,10,0.0003448275862068965
420,open,9,0.0003103448275862069
421,churchyard,9,0.0003103448275862069
422,musicians,9,0.0003103448275862069
423,ancient,9,0.0003103448275862069
424,move,9,0.0003103448275862069
425,wall,9,0.0003103448275862069
426,foot,9,0.0003103448275862069
427,ground,9,0.0003103448275862069
428,case,9,0.0003103448275862069
429,found,9,0.0003103448275862069
430,himself,9,0.0003103448275862069
431,unless,9,0.0003103448275862069
432,weep,9,0.0003103448275862069
433,forget,9,0.0003103448275862069
434,unto,9,0.0003103448275862069
435,hide,9,0.0003103448275862069
436,read,9,0.0003103448275862069
437,rosaline,9,0.0003103448275862069
438,indeed,9,0.0003103448275862069
439,great,9,0.0003103448275862069
440,what’s,9,0.0003103448275862069
441,meet,9,0.0003103448275862069
442,form,9,0.0003103448275862069
443,body,9,0.0003103448275862069
444,charge,9,0.0003103448275862069
445,vault,9,0.0003103448275862069
446,including,9,0.0003103448275862069
447,refund,9,0.0003103448275862069
448,,8,0.00027586206896551725
449,public,8,0.00027586206896551725
450,room,8,0.00027586206896551725
451,hall,8,0.00027586206896551725
452,garden,8,0.00027586206896551725
453,capulets,8,0.00027586206896551725
454,apothecary,8,0.00027586206896551725
455,three,8,0.00027586206896551725
456,while,8,0.00027586206896551725
457,bite,8,0.00027586206896551725
458,sword,8,0.00027586206896551725
459,right,8,0.00027586206896551725
460,mind,8,0.00027586206896551725
461,into,8,0.00027586206896551725
462,clouds,8,0.00027586206896551725
463,counsel,8,0.00027586206896551725
464,noble,8,0.00027586206896551725
465,having,8,0.00027586206896551725
466,alas,8,0.00027586206896551725
467,mistress,8,0.00027586206896551725
468,welcome,8,0.00027586206896551725
469,written,8,0.00027586206896551725
470,last,8,0.00027586206896551725
471,merry,8,0.00027586206896551725
472,lady’s,8,0.00027586206896551725
473,sight,8,0.00027586206896551725
474,enough,8,0.00027586206896551725
475,follow,8,0.00027586206896551725
476,torch,8,0.00027586206896551725
477,that’s,8,0.00027586206896551725
478,times,8,0.00027586206896551725
479,men’s,8,0.00027586206896551725
480,vile,8,0.00027586206896551725
481,swear,8,0.00027586206896551725
482,saint,8,0.00027586206896551725
483,high,8,0.00027586206896551725
484,return,8,0.00027586206896551725
485,sound,8,0.00027586206896551725
486,sorrow,8,0.00027586206896551725
487,woes,8,0.00027586206896551725
488,bones,8,0.00027586206896551725
489,hie,8,0.00027586206896551725
490,thought,8,0.00027586206896551725
491,located,7,0.0002413793103448276
492,abram,7,0.0002413793103448276
493,servants,7,0.0002413793103448276
494,fearful,7,0.0002413793103448276
495,mean,7,0.0002413793103448276
496,shows,7,0.0002413793103448276
497,feel,7,0.0002413793103448276
498,flesh,7,0.0002413793103448276
499,noise,7,0.0002413793103448276
500,fire,7,0.0002413793103448276
501,bloody,7,0.0002413793103448276
502,morning,7,0.0002413793103448276
503,cause,7,0.0002413793103448276
504,air,7,0.0002413793103448276
505,short,7,0.0002413793103448276
506,cold,7,0.0002413793103448276
507,sick,7,0.0002413793103448276
508,sea,7,0.0002413793103448276
509,near,7,0.0002413793103448276
510,hit,7,0.0002413793103448276
511,canst,7,0.0002413793103448276
512,behold,7,0.0002413793103448276
513,stars,7,0.0002413793103448276
514,dark,7,0.0002413793103448276
515,gives,7,0.0002413793103448276
516,writ,7,0.0002413793103448276
517,fortune,7,0.0002413793103448276
518,book,7,0.0002413793103448276
519,herself,7,0.0002413793103448276
520,thousand,7,0.0002413793103448276
521,wish,7,0.0002413793103448276
522,beseech,7,0.0002413793103448276
523,measure,7,0.0002413793103448276
524,tender,7,0.0002413793103448276
525,anon,7,0.0002413793103448276
526,ear,7,0.0002413793103448276
527,bosom,7,0.0002413793103448276
528,music,7,0.0002413793103448276
529,hot,7,0.0002413793103448276
530,sit,7,0.0002413793103448276
531,past,7,0.0002413793103448276
532,fetch,7,0.0002413793103448276
533,prepare,7,0.0002413793103448276
534,honest,7,0.0002413793103448276
535,looks,7,0.0002413793103448276
536,kind,7,0.0002413793103448276
537,thyself,7,0.0002413793103448276
538,words,7,0.0002413793103448276
539,murder,7,0.0002413793103448276
540,silver,7,0.0002413793103448276
541,sudden,7,0.0002413793103448276
542,next,7,0.0002413793103448276
543,tomb,7,0.0002413793103448276
544,kill’d,7,0.0002413793103448276
545,corse,7,0.0002413793103448276
546,free,7,0.0002413793103448276
547,woeful,7,0.0002413793103448276
548,dagger,7,0.0002413793103448276
549,u.s,7,0.0002413793103448276
550,distributing,7,0.0002413793103448276
551,copies,7,0.0002413793103448276
552,ebooks,7,0.0002413793103448276
553,associated,7,0.0002413793103448276
554,section,7,0.0002413793103448276
555,provide,7,0.0002413793103448276
556,information,7,0.0002413793103448276
557,using,6,0.00020689655172413793
558,date,6,0.00020689655172413793
559,volunteers,6,0.00020689655172413793
560,chorus,6,0.00020689655172413793
561,montagues,6,0.00020689655172413793
562,citizens,6,0.00020689655172413793
563,o’,6,0.00020689655172413793
564,moved,6,0.00020689655172413793
565,stir,6,0.00020689655172413793
566,maids,6,0.00020689655172413793
567,hadst,6,0.00020689655172413793
568,thumb,6,0.00020689655172413793
569,serve,6,0.00020689655172413793
570,remember,6,0.00020689655172413793
571,fight,6,0.00020689655172413793
572,among,6,0.00020689655172413793
573,close,6,0.00020689655172413793
574,hurt,6,0.00020689655172413793
575,might,6,0.00020689655172413793
576,seen,6,0.00020689655172413793
577,deep,6,0.00020689655172413793
578,home,6,0.00020689655172413793
579,prove,6,0.00020689655172413793
580,envious,6,0.00020689655172413793
581,please,6,0.00020689655172413793
582,aside,6,0.00020689655172413793
583,let’s,6,0.00020689655172413793
584,morrow,6,0.00020689655172413793
585,hours,6,0.00020689655172413793
586,loving,6,0.00020689655172413793
587,anything,6,0.00020689655172413793
588,lead,6,0.00020689655172413793
589,breast,6,0.00020689655172413793
590,dies,6,0.00020689655172413793
591,change,6,0.00020689655172413793
592,fourteen,6,0.00020689655172413793
593,bride,6,0.00020689655172413793
594,feast,6,0.00020689655172413793
595,person,6,0.00020689655172413793
596,where’s,6,0.00020689655172413793
597,girl,6,0.00020689655172413793
598,matter,6,0.00020689655172413793
599,age,6,0.00020689655172413793
600,fool,6,0.00020689655172413793
601,jest,6,0.00020689655172413793
602,wast,6,0.00020689655172413793
603,already,6,0.00020689655172413793
604,less,6,0.00020689655172413793
605,strength,6,0.00020689655172413793
606,five,6,0.00020689655172413793
607,spoke,6,0.00020689655172413793
608,care,6,0.00020689655172413793
609,tale,6,0.00020689655172413793
610,yonder,6,0.00020689655172413793
611,cheek,6,0.00020689655172413793
612,youth,6,0.00020689655172413793
613,thank,6,0.00020689655172413793
614,enemy,6,0.00020689655172413793
615,strange,6,0.00020689655172413793
616,speaks,6,0.00020689655172413793
617,arm,6,0.00020689655172413793
